isbn,title,price,publishDate
978-4798142470,Spring徹底入門 Spring FrameworkによるJavaアプリケーション開発,4400,2016-07-21
978-4774182179,[改訂新版]Spring入門 ――Javaフレームワーク・より良い設計とアーキテクチャ,4180,2016-06-14
978-1492076988,Spring Boot: Up and Running: Building Cloud Native Java and Kotlin Applications,6265,2021-03-23
978-1484237236,The Definitive Guide to Spring Batch: Modern Finite Batch Processing in the Cloud,7361,2019-07-09
978-4798161488,MySQL徹底入門 第4版 MySQL 8.0対応,4180,2020-07-06
978-4797393118,基礎からのMySQL 第3版 (基礎からシリーズ),6038,2017-09-22
978-4873116389,実践ハイパフォーマンスMySQL 第3版,5280,2013-11-25
978-4295000198,やさしく学べるMySQL運用・管理入門【5.7対応】,2860,2016-12-15
978-4798147406,詳解MySQL 5.7 止まらぬ進化に乗り遅れないためのテクニカルガイド (NEXT ONE),3960,2016-08-26
978-4774170206,MariaDB&MySQL全機能バイブル,3850,2014-12-18
